Police_Station,Date_Time,Date,Time,Location,Loc_Id,ACT-379-380_454_457,ACT-294_506,Latitude,Longitude
Civil_Line,20.07.2019 13:00,20-07-19,13:00,Office,3,0,1,21.239135,81.646328
Civil_Line,21.07.2019 22:00,21-07-19,22:00,Street,5,0,1,21.249855,81.655884
Civil_Line,26.07.2019 14:30,26-07-19,14:30,Street,5,0,1,21.234113,81.654661
Civil_Line,26.07.2019 12:00,26-07-19,12:00,House,2,0,1,21.239152,81.651767
Civil_Line,28.07.2019 18:00,28-07-19,18:00,Street,5,0,1,21.252308,81.651576
Civil_Line,31.07.2019 23:30,31-07-19,23:30,Street,5,0,1,21.244623,81.652713
Civil_Line,04.08.2019 22:00,04-08-19,22:00,Street,5,0,1,21.242265,81.655273
Civil_Line,06.08.2019 14:00,06-08-19,14:00,Street,5,0,1,21.254219,81.650599
Civil_Line,14.08.2019 00:10,14-08-19,0:10,Street,5,0,1,21.234113,81.654661
Civil_Line,14.08.2019 09:30,14-08-19,9:30,Street,5,0,1,21.25885,81.658579
Civil_Line,18.08.2019 00:10,18-08-19,0:10,Street,5,0,1,21.234113,81.654661
Civil_Line,19.08.2019 11:00,19-08-19,11:00,House,2,0,1,21.256868,81.647811
Civil_Line,20.08.2019 16:30,20-08-19,16:30,Street,5,0,1,21.254219,81.650599
Civil_Line,21.08.2019 19:30,21-08-19,19:30,Street,5,0,1,21.252308,81.651576
Civil_Line,29.08.2019 17:30,29-08-19,17:30,Street,5,0,1,21.244632,81.642394
Civil_Line,29.08.2019 20:00,29-08-19,20:00,Street,5,0,1,21.244623,81.652713
Civil_Line,26.08.2019 13:30,26-08-19,13:30,Street,5,0,1,21.246895,81.641919
Civil_Line,02.09.2019 20:30,02-09-19,20:30,Street,5,0,1,21.248892,81.650273
Civil_Line,06.09.2019 22:30,06-09-19,22:30,Street,5,0,1,21.25885,81.658579
Civil_Line,08.09.2019 15:30,08-09-19,15:30,Street,5,0,1,21.244632,81.642394
Civil_Line,10.09.2019 20:30,10-09-19,20:30,Street,5,0,1,21.243429,81.65366
Civil_Line,13.09.2019 15:00,13-09-19,15:00,Street,5,0,1,21.248892,81.650273
Civil_Line,14.09.2019 10:30,14-09-19,10:30,House,2,0,1,21.239152,81.651767
Civil_Line,14.09.2019 10:30,14-09-19,10:30,Street,5,0,1,21.249855,81.655884
Civil_Line,19.09.2019 21:30,19-09-19,21:30,Street,5,0,1,21.249855,81.655884
Civil_Line,20.09.2019 13:55,20-09-19,13:55,Street,5,0,1,21.243429,81.65366
Civil_Line,24.09.2019 09:00,24-09-19,9:00,Street,5,0,1,21.252308,81.651576
Civil_Line,02.10.2019 17:30,02-10-19,17:30,Street,5,0,1,21.249855,81.655884
Civil_Line,03.10.2019 23:30,03-10-19,23:30,Street,5,0,1,21.248892,81.650273
Civil_Line,08.10.2019 20:15,08-10-19,20:15,Street,5,0,1,21.235136,81.650983
Civil_Line,08.10.2019 20:30,08-10-19,20:30,Street,5,0,1,21.248892,81.650273
Civil_Line,08.10.2019 22:45,08-10-19,22:45,Street,5,0,1,21.248892,81.650273
Civil_Line,09.10.2019 18:30,09-10-19,18:30,Street,5,0,1,21.244623,81.652713
Civil_Line,11.10.2019 23:45,11-10-19,23:45,Street,5,0,1,21.252308,81.651576
Civil_Line,13.10.2019 18:00,13-10-19,18:00,Street,5,0,1,21.243429,81.65366
Civil_Line,15.10.2019 01:00,15-10-19,1:00,Street,5,0,1,21.256868,81.647811
Civil_Line,17.10.2019 18:00,17-10-19,18:00,Street,5,0,1,21.246895,81.641919
Civil_Line,26.10.2019 17:30,26-10-19,17:30,Street,5,0,1,21.252308,81.651576
Civil_Line,26.10.2019 17:30,26-10-19,17:30,Street,5,0,1,21.252308,81.651576
Civil_Line,29.10.2019 22:30,29-10-19,22:30,Street,5,0,1,21.248892,81.650273
Civil_Line,05.11.2019 10:50,05-11-19,10:50,Street,5,0,1,21.244632,81.642394
Civil_Line,05.11.2019 10:50,05-11-19,10:50,Street,5,0,1,21.246895,81.641919
Civil_Line,15.11.2019 14:15,15-11-19,14:15,Street,5,0,1,21.250453,81.661867
Civil_Line,18.11.2019 21:45,18-11-19,21:45,Street,5,0,1,21.239135,81.646328
Civil_Line,29.11.2019 18:45,29-11-19,18:45,Street,5,0,1,21.239152,81.651767
Civil_Line,22.12.2019 21:30,22-12-19,21:30,Street,5,0,1,21.244623,81.652713
